Simulations,Pedestrian,Real X,Predicted X,SSE X,Real Y,Predicted Y,SSE Y
1310,1,734,734.9491824,0.900947241,1184,1190.913703,47.79929472
1310,2,733,734.5323693,2.348155698,1234,1245.748932,138.0374012
1320,0,700,698.5773829,2.023839283,1076,1063.473083,156.9236479
1320,1,734,735.3326124,1.775855915,1184,1191.71099,59.45936767
1320,2,733,734.6204562,2.625878452,1234,1246.236224,149.725184
1330,0,700,699.0572904,0.888701395,1076,1063.162129,164.8109429
1330,1,734,735.317899,1.736857854,1184,1191.564698,57.22466077
1330,2,733,734.5708892,2.46769277,1234,1246.105669,146.5472311
1340,0,700,698.8433806,1.337768399,1076,1063.052695,167.6326968
1340,1,734,734.893949,0.799144762,1184,1191.147276,51.08355814
1340,2,733,734.6812099,2.826466644,1234,1245.345935,128.7302407
1350,0,700,697.984178,4.063538377,1076,1062.71315,176.5403745
1350,1,734,734.7869414,0.619276698,1184,1190.372307,40.60629546
1350,2,733,734.944239,3.780065373,1234,1245.583761,134.1835215
1360,0,700,699.3047209,0.483413048,1076,1063.185828,164.2030123
1360,1,734,735.1369023,1.292546834,1184,1191.514745,56.4713943
1360,2,733,735.2988072,5.284514639,1234,1245.592696,134.390592
1370,0,700,698.9292874,1.146425577,1076,1062.830147,173.4450245
1370,1,734,735.1293986,1.27554125,1184,1191.466781,55.75281415
1370,2,733,734.4699628,2.160790693,1234,1247.245354,175.4394062
1380,0,700,698.7275522,1.619123389,1076,1063.341511,160.2373437
1380,1,734,735.0309022,1.062759333,1184,1190.3317,40.09042584
1380,2,733,734.5974507,2.551848682,1234,1245.394397,129.8322899
1390,0,700,699.0217804,0.956913599,1076,1062.817133,173.7879925
1390,1,734,735.3788567,1.901245842,1184,1190.416732,41.17445112
1390,2,733,734.4606845,2.133599344,1234,1245.208007,125.6194258
